1,1,10.0
1,2,5.0
1,4,8.0
1,5,9.0
1,6,5.0
1,7,11.0
1,8,7.0
1,9,8.0
1,10,8.0
1,11,14.0
1,12,17.0
1,13,9.0
1,14,11.0
1,15,11.0
1,16,5.0
1,17,9.0
1,18,4.0
1,19,6.0
1,20,5.0
6,3,8.0
6,7,6.0
6,8,1.0
6,9,4.0
6,1,7.0
6,2,2.0
6,4,4.0
6,5,7.0
6,6,2.0
6,11,3.0
6,12,4.0
6,13,2.0
6,14,1.0
6,15,3.0
6,17,1.0
6,18,1.0
6,19,1.0
3,1,5.0
3,2,3.0
3,3,9.0
3,4,4.0
3,6,3.0
3,7,5.0
3,8,7.0
3,9,4.0
3,10,3.0
3,11,5.0
3,12,6.0
3,13,3.0
3,14,4.0
3,15,4.0
3,16,1.0
3,17,2.0
3,18,1.0
3,19,3.0
3,20,3.0
7,1,4.0
7,2,6.0
7,3,8.0
7,4,2.0
7,5,4.0
7,6,3.0
7,7,4.0
7,8,3.0
7,10,1.0
7,11,3.0
7,12,2.0
7,13,4.0
7,14,5.0
7,15,4.0
7,16,3.0
7,17,4.0
7,18,1.0
7,19,3.0
7,20,2.0
8,1,3.0
8,2,2.0
8,3,8.0
8,4,3.0
8,5,3.0
8,6,2.0
8,7,6.0
8,9,1.0
8,11,4.0
8,12,7.0
8,13,5.0
8,14,5.0
8,15,7.0
8,16,2.0
8,17,2.0
8,18,3.0
8,19,3.0
8,20,2.0
9,1,4.0
9,16,3.0
9,2,5.0
9,3,14.0
9,4,5.0
9,5,5.0
9,6,2.0
9,7,3.0
9,8,3.0
9,9,3.0
9,10,4.0
9,12,9.0
9,13,3.0
9,14,4.0
9,15,4.0
9,17,4.0
9,18,2.0
9,19,3.0
9,20,1.0
16,1,2.0
16,17,5.0
16,2,1.0
16,3,4.0
16,4,3.0
16,5,1.0
16,7,3.0
16,8,1.0
16,9,1.0
16,10,3.0
16,11,2.0
16,12,2.0
16,13,2.0
16,14,4.0
16,15,2.0
16,16,1.0
16,19,2.0
16,20,1.0
11,1,4.0
11,12,8.0
11,2,3.0
11,3,9.0
11,4,11.0
11,5,3.0
11,6,4.0
11,7,5.0
11,8,2.0
11,9,4.0
11,10,5.0
11,11,3.0
11,14,8.0
11,15,11.0
11,16,3.0
11,17,8.0
11,18,2.0
11,19,5.0
11,20,3.0
12,1,2.0
12,2,2.0
12,3,11.0
12,4,4.0
12,5,4.0
12,6,3.0
12,7,5.0
12,8,1.0
12,9,5.0
12,10,5.0
12,11,4.0
12,12,7.0
12,13,8.0
12,15,8.0
12,16,1.0
12,17,5.0
12,18,4.0
12,19,4.0
12,20,1.0
13,2,3.0
13,14,9.0
13,15,1.0
13,1,5.0
13,3,11.0
13,4,7.0
13,5,4.0
13,6,1.0
13,7,4.0
13,8,3.0
13,9,4.0
13,10,7.0
13,11,4.0
13,12,8.0
13,13,11.0
13,16,2.0
13,17,5.0
13,18,2.0
13,19,2.0
13,20,1.0
2,1,4.0
2,2,1.0
2,3,8.0
2,5,4.0
2,7,3.0
2,8,4.0
2,9,2.0
2,10,3.0
2,11,5.0
2,12,3.0
2,13,11.0
2,14,4.0
2,15,7.0
2,17,4.0
2,18,3.0
2,19,3.0
14,1,1.0
14,2,6.0
14,3,5.0
14,5,1.0
14,6,1.0
14,7,2.0
14,9,3.0
14,10,2.0
14,11,2.0
14,12,3.0
14,13,3.0
14,14,1.0
14,15,2.0
14,17,6.0
14,18,1.0
14,20,1.0
15,1,4.0
15,2,3.0
15,3,9.0
15,4,4.0
15,5,2.0
15,6,2.0
15,7,6.0
15,8,1.0
15,9,4.0
15,10,2.0
15,11,4.0
15,12,7.0
15,13,8.0
15,14,5.0
15,15,5.0
15,16,6.0
15,18,4.0
15,19,3.0
15,20,3.0
17,2,1.0
17,3,6.0
17,4,3.0
17,5,3.0
17,6,1.0
17,7,2.0
17,8,1.0
17,9,3.0
17,10,3.0
17,11,3.0
17,12,4.0
17,13,5.0
17,14,4.0
17,15,2.0
17,17,3.0
17,18,2.0
17,20,6.0
19,1,1.0
19,20,1.0
21,2,2.0
21,3,10.0
21,4,4.0
21,5,5.0
21,6,5.0
21,7,9.0
21,8,7.0
21,9,4.0
21,10,3.0
21,11,3.0
21,12,7.0
21,13,3.0
21,14,2.0
21,15,5.0
21,16,1.0
21,17,4.0
21,18,1.0
21,20,1.0
4,1,5.0
4,2,1.0
4,3,5.0
4,5,3.0
4,7,5.0
4,8,2.0
4,9,3.0
4,10,2.0
4,11,2.0
4,12,4.0
4,13,4.0
4,14,3.0
4,15,1.0
4,16,1.0
4,17,2.0
4,19,1.0
4,20,2.0
5,1,9.0
5,2,4.0
5,3,11.0
5,4,3.0
5,5,5.0
5,6,5.0
5,8,5.0
5,9,4.0
5,10,6.0
5,11,3.0
5,12,9.0
5,13,5.0
5,14,5.0
5,15,4.0
5,16,2.0
5,17,6.0
5,18,3.0
5,19,2.0
5,20,2.0
10,1,7.0
10,2,4.0
10,3,17.0
10,4,3.0
10,5,6.0
10,6,4.0
10,7,9.0
10,8,4.0
10,9,2.0
10,10,7.0
10,11,9.0
10,13,7.0
10,14,7.0
10,15,8.0
10,16,3.0
10,17,7.0
10,18,2.0
10,19,4.0
10,20,3.0
18,1,1.0
18,2,1.0
18,3,5.0
18,5,3.0
18,6,2.0
18,7,2.0
18,9,2.0
18,10,2.0
18,11,1.0
18,12,3.0
18,13,3.0
18,14,1.0
18,15,1.0
18,16,1.0
18,17,3.0
18,18,1.0
18,19,6.0
