id,name
A,0
B,1
ALPHABET,2
THE,3
GRADE,4
LETTER,5
PLUS,6
AN,7
Z,8
AND,9
APPLE,10
GREAT,11
ONE,12
WORD,13
AARDVARK,14
ANIMAL,15
ANT,16
ANTEATER,17
PINK PANTHER,18
MUSIC,19
NOSE,20
UGLY,21
CONFUSED,22
DICTIONARY,23
FUR,24
ROAD KILL,25
SHELL,26
ZOO,27
ABDOMEN,28
STOMACH,29
BODY,30
MUSCLE,31
SIT UPS,32
ORGAN,33
PAIN,34
BELLY,35
CRAMP,36
CRUNCHES,37
INTESTINE,38
SEX,39
SIX PACK,40
ABDUCT,41
KIDNAP,42
TAKE,43
STEAL,44
ALIEN,45
ADDUCT,46
CHILD,47
CAPTURE,48
HARASS,49
KIDNAPPER,50
MISSING,51
OPEN,52
ABILITY,53
CAPABILITY,54
ABLE,55
COMPETENCE,56
SKILL,57
STRENGTH,58
INABILITY,59
POWER,60
TALENT,61
DISABILITY,62
DO,63
POTENTIAL,64
ATHLETE,65
CAN,66
CAPACITY,67
KNOW HOW,68
KNOWLEDGE,69
MIND,70
PHYSICAL,71
SPORT,72
TO,73
UNABLE,74
WORK,75
WILLING,76
CAPABLE,77
DISABLED,78
BODIED,79
HANDICAPPED,80
STRONG,81
CAIN,82
EASY,83
READY,84
WELL,85
ABNORMAL,86
NORMAL,87
WEIRD,88
STRANGE,89
DIFFERENT,90
RETARDED,91
CRAZY,92
ODD,93
DEFORMED,94
INSANE,95
ME,96
PSYCHOLOGY,97
UNCOMMON,98
UNUSUAL,99
ABOVE,100
BELOW,101
BEYOND,102
UP,103
HIGH,104
OVER,105
TOP,106
AVERAGE,107
CLOUD,108
SKY,109
ABSENCE,110
GOOD,111
PRESENT,112
SICK,113
PRESENCE,114
TARDY,115
ATTENDANCE,116
NOT THERE,117
AWAY,118
CLASS,119
HERE,120
SCHOOL,121
ALONE,122
EMPTY,123
EXCUSE,124
ILLNESS,125
KIDS,126
NOT,127
VOID,128
WITHDRAWAL,129
WITHOUT,130
ABSENT,131
GONE,132
MINDED,133
NOT HERE,134
LOST,135
THERE,136
ABSTRACT,137
ART,138
PAINTING,139
CONCRETE,140
UNCLEAR,141
THOUGHT,142
WILD,143
BLACK,144
COMPLEX,145
DRAW,146
GEOMETRY,147
IDEA,148
MATH,149
PICASSO,150
THINK,151
UNREAL,152
ABSURD,153
RIDICULOUS,154
STUPID,155
DUMB,156
NONSENSE,157
SILLY,158
OUTRAGEOUS,159
UNBELIEVABLE,160
UNHEARD OF,161
FUNNY,162
IMPOSSIBLE,163
LUDICROUS,164
ABUNDANCE,165
LOTS,166
PLENTY,167
MANY,168
MONEY,169
FOOD,170
MUCH,171
LACK,172
SCARCITY,173
FULL,174
EXCESS,175
FAMINE,176
LARGE,177
LITTLE,178
MORE,179
MYRIAD,180
OVERWHELMING,181
PEOPLE,182
PLETHORA,183
TREES,184
VARIETY,185
WATER,186
ABUSE,187
HURT,188
HIT,189
BEAT,190
NEGLECT,191
DRUG,192
MISTREAT,193
ALCOHOL,194
BAD,195
USE,196
VIOLENT,197
FIGHT,198
SEXUAL,199
SPOUSE,200
ACCELERATE,201
SPEED,202
FAST,203
CAR,204
DECELERATE,205
GAS,206
INCREASE,207
GO,208
PEDAL,209
RACE,210
SLOW,211
STOP,212
ACCEPT,213
REJECT,214
DENY,215
AGREE,216
UNDERSTAND,217
ALLOW,218
BELIEVE,219
ACKNOWLEDGE,220
UNACCEPTABLE,221
EXCEPT,222
GIFT,223
GIVE,224
LIKE,225
RECEIVE,226
WANT,227
YES,228
ACCIDENT,229
CRASH,230
MISTAKE,231
